,name,rating,distance
1170,La Mia Pizza,4.0,475.5627314330141
1171,Chillino,1.0,420.31684600002313
1172,Hotel Seeblick,3.5,510.432329087101
1173,Stückwerk,3.0,383.4473288119026
1174,Uno Pizza,1.0,541.9444491097847
1175,Kebaphaus Istanbul,3.5,561.4551774560327
1176,Lukas,2.0,494.043090116394
1177,Mein Liebes Frollein,4.5,224.32098096062325
1178,Cà Pháo,5.0,350.42729609498105
1179,Orpheus,4.5,361.5658375299759
1180,Symbiose,4.5,332.92197368437274
1181,Schnellbuffet Süd,4.0,396.8841608139899
1182,Café Soley,5.0,406.4961733596455
1183,Fela,4.0,326.9365688106496
1184,Efes- Grillhaus,3.5,328.94760368418895
1185,Restaurant Mona Lisa,4.5,454.9895535762993
1186,Shakunda,4.0,322.46432537544905
1187,Shahia,4.5,321.7727078334271
1188,Asia Wok,4.0,344.4948847504213
1189,Bistro Dilan,4.0,322.3270532923809
1190,Café Puschkin,3.5,563.5484022567935
1191,Ganesha Indische Restaurant,4.0,536.0605197360225
1192,Noels Ballroom,4.5,542.7639742027824
1193,China-Tai Asiatische Spezialitäten,3.0,424.1043502113025
1194,La Mia Pizza,4.0,309.4803214857864
1195,Pascha Kebab Pizza Haus,5.0,324.4446179497473
1196,Mr. Thong,5.0,524.9720515872671
1197,Hotel Seeblick,3.5,354.9445038951694
1198,Subway,3.0,413.7894201901544
1199,La Cosita,3.5,615.292033695482
1200,Uno Pizza,1.0,360.2799887356642
1201,Lukas,2.0,357.4342851806699
1202,Stückwerk,3.0,478.8747717556718
1203,Connstanze,4.5,153.4629958790848
1204,Döner King,4.5,75.30929731607024
1205,Bistro Delal,5.0,104.36376246815506
1206,Curry Süd,4.0,161.48228585921765
1207,Frau Krause,4.5,420.67541831208547
1208,Café Soley,5.0,368.474091893069
1209,Deli Fein Schnell Vegan,4.0,358.50145435531783
1210,Vegan Express,5.0,362.8305979927898
1211,Willsons,4.0,204.24566002899715
1212,Schnellbuffet Süd,4.0,489.43952785064016
1213,Weltladen Connewitz,5.0,580.8160946709557
1214,Happy Sushi,4.0,522.0127014160532
1215,La Lira,4.0,513.7292463498246
1216,Mensa Academica,3.0,211.5898359582232
1217,Subway,3.0,375.22727499174766
1218,Thüringer Rostbrät'l,4.0,381.076219815195
1219,Ginseng,4.0,343.6283571807729
1220,Bistro Jasmin,5.0,406.5430484962886
1221,Jeepney,5.0,411.97362152595235
1222,Hacienda Mexicana Leipzig,3.5,405.08989797755385
1223,Brotlos,4.5,302.6290713377568
1224,Bistro Mam Wahid Almas,3.0,432.8941732102406
1225,Fly Pizza,3.0,464.9109280765753
1226,Call a Pizza,3.0,575.795874824555
1227,Chinabrenner,4.0,183.96916528060748
1228,Kartoffel Fräulein,5.0,297.23804850041824
1229,Kaiserbad,3.0,217.745021947989
