,name,rating,distance
548,Croissanterie Leipzig,7.0,310
549,Veganese Quán Chay,-1,264
550,Fam Tran Phat,6.2,316
551,Süß + Salzig,7.2,421
552,Little Italy,-1,294
553,Peking Haus,-1,298
554,Café Albert,7.0,439
555,Call a Pizza,-1,322
556,Prellbock das Restaurant,6.0,362
557,Mam Mam Leipzig,-1,334
558,Chinabrenner Winterquartier,-1,390
559,Moini - Steinofenpizza,-1,409
560,Croissanterie Leipzig,-1,414
561,Old Rebel,-1,457
562,Beard Brothers feinen Hot Dog Company,7.8,6
563,Dipasquale,8.3,43
564,Le Petit Franz,7.9,49
565,Croissanterie Leipzig,7.0,15
566,Don Kichot,7.2,92
567,Call a Pizza,-1,13
568,Süß + Salzig,7.2,111
569,Peking Haus,-1,52
570,Casablanca,7.4,167
571,Meins,7.5,188
572,AKKO Hummus Bar,7.1,189
573,Veganese Quán Chay,-1,122
574,Café Albert,7.0,215
575,Chinabrenner Winterquartier,-1,157
576,Volle Rolle,7.9,304
577,Café Kater,8.2,326
578,Little Italy,-1,201
579,Fam Tran Phat,6.2,243
580,Moini - Steinofenpizza,-1,203
581,Chumumi,7.1,344
582,El Arabi,6.4,302
583,Domino's Pizza Leipzig Plagwitz,-1,272
584,Suppentempel,-1,289
585,Quan Xanh Vietnamese Vegan Food,-1,320
586,Patio del Sol,-1,338
587,Mam Mam Leipzig,-1,360
588,Beit Giddi,-1,360
589,Bistro Sindbad,-1,361
590,Café Oink,-1,422
591,Glas & Bohne,-1,458
592,SCHNIZZ Leipzig-West,5.7,487
593,Haus 56,-1,482
594,Cafe Petisqueira,-1,665
595,Café Kater,8.2,106
596,Mam Mam Leipzig,-1,29
597,Fam Tran Phat,6.2,113
598,Casablanca,7.4,187
599,AKKO Hummus Bar,7.1,170
600,El Arabi,6.4,127
601,Meins,7.5,215
602,Little Italy,-1,153
603,Dipasquale,8.3,319
604,Don Kichot,7.2,263
605,Volle Rolle,7.9,336
606,Domino's Pizza Leipzig Plagwitz,-1,188
607,Patio del Sol,-1,200
608,Beard Brothers feinen Hot Dog Company,7.8,356
609,Le Petit Franz,7.9,397
610,Veganese Quán Chay,-1,233
611,Croissanterie Leipzig,7.0,368
612,Suppentempel,-1,274
613,Süß + Salzig,7.2,414
614,Olea,8.1,494
615,Peking Haus,-1,302
616,Chumumi,7.1,427
617,SCHNIZZ Leipzig-West,5.7,357
618,Call a Pizza,-1,356
619,Quan Xanh Vietnamese Vegan Food,-1,387
620,Bistro Sindbad,-1,447
621,Beit Giddi,-1,457
622,Café Oink,-1,494
623,Cafe Petisqueira,-1,653
624,Pekar,7.9,112
625,Cafe Petisqueira,-1,30
626,Olea,8.1,163
627,Kleopatra,-1,49
628,Pan,-1,67
629,Gambrinus Gaststätte mit Biergarten,-1,114
630,BasaMo Insel,-1,134
631,Haus 56,-1,258
632,SCHNIZZ Leipzig-West,5.7,281
633,Glas & Bohne,-1,357
634,Zum Wursterben,-1,445
635,Restaurant Little Saigon,-1,493
636,Pizza Lab,-1,501
637,Luise,7.8,7
638,Sakura Kaiten Sushibar,7.2,26
639,An Nam,7.6,89
640,Inside Asia,6.8,74
641,Chang,7.7,158
642,Batu,-1,61
643,Mascarpone,-1,70
644,Canito,-1,73
645,Maison Viet,-1,91
646,Café Tunichtgut,7.8,289
647,Cafe Madrid,7.8,292
648,Huwa,6.1,229
649,L'Osteria,8.4,381
650,ZR Zchaca Restaurant,8.2,381
651,Umaii Ramenbar,6.7,284
652,La Casa,-1,213
653,Wenzel Prager Bierstuben,6.6,289
654,Cafe Kandler,7.0,347
655,Die erste Leipziger Brotschule mit und von Backhaus Wentzlaff,7.3,369
656,Barfusz,6.8,333
657,Schnitzel Culture,5.6,260
658,Kartoffelhaus No. 1,5.7,264
659,Apels Garten,-1,258
660,Barthels Hof,6.6,333
661,Valentino,7.5,417
662,Lerchennest,-1,270
663,Curry & Co,7.3,404
664,Thüringer Hof,7.4,417
665,Zigarre,5.9,297
666,Puro 5,6.6,352
667,Dean & David,7.1,421
668,Bull & Bonito,-1,306
669,Kolinar,-1,313
670,Fürst,-1,317
671,Il Corso,6.9,421
672,Nordsee,6.4,391
673,Ratskeller der Stadt Leipzig,8.6,562
674,Tokyo Cafe,-1,338
675,ALEX Leipzig,7.5,499
676,Domino's Pizza Leipzig Zentrum West (Domino‘s Pizza Leipzig Zentrum West),-1,343
677,Pizza Paradiso,-1,343
678,Enchilada,6.1,384
679,Stein Café,6.7,443
680,Peter Pane,7.1,486
681,Sushi Circle,6.9,461
682,Feuerwassereis Kochen Erleben,-1,355
683,Pho Viet,7.1,489
684,Bellinis,5.2,350
685,Kellari,6.6,458
686,Sushi & Nem,6.4,449
687,Café Tunichtgut,7.8,332
688,Dankbar Kaffee Leipzig,8.0,397
689,Pizza Paradiso,-1,243
690,Chang,7.7,415
691,Tamers Bistro,7.6,428
692,Tokyo Cafe,-1,276
693,An Nam,7.6,445
694,Luise,7.8,476
695,Kolinar,-1,317
696,Sakura Kaiten Sushibar,7.2,462
697,Die erste Leipziger Brotschule mit und von Backhaus Wentzlaff,7.3,472
698,Mein Leipzig,-1,329
699,Fam Tran Phat,6.3,430
700,Apels Garten,-1,393
701,L`arena Pizzeria,6.1,440
702,Domino's Pizza Leipzig Zentrum West (Domino‘s Pizza Leipzig Zentrum West),-1,404
703,Pizzeria Napoli,-1,417
704,Subway,5.9,449
705,La Casa,-1,422
706,Mascarpone,-1,430
707,Canito,-1,441
708,Batu,-1,448
709,Elia Griechisches,-1,453
710,Aspendos Grill,6.0,604
711,Stein Café,6.7,10
712,ALEX Leipzig,7.5,67
713,Nordsee,6.4,50
714,Indian Crown,7.1,117
715,Sushi Circle,6.9,104
716,Barfusz,6.8,109
717,Burger King,5.0,34
718,Cafe Madrid,7.8,177
719,Barthels Hof,6.6,122
720,Pho Viet,7.1,160
721,Central,6.7,140
722,Vietnam-Küche,-1,79
723,Peter Pane,7.1,175
724,Feuerwassereis Kochen Erleben,-1,91
725,Umaii Ramenbar,6.7,160
726,Puro 5,6.6,156
727,Bellinis,5.2,92
728,Romanushof,6.8,195
729,Wenzel Prager Bierstuben,6.6,183
730,Fürst,-1,124
731,Zigarre,5.9,145
732,Cafe Kandler,7.0,225
733,Sardinia,7.1,232
734,Andria Ristorante,7.1,233
735,Bagel Brothers,8.0,304
736,Yasumi,7.3,268
737,Indian Palace,6.3,215
738,Imperii,8.4,342
739,DINEA Café & Restaurant,-1,174
740,Curry & Co,7.3,291
741,Kartoffelhaus No. 1,5.7,184
742,Lerchennest,-1,178
743,Valentino,7.5,310
744,McDonald's,6.8,261
745,Huwa,6.1,216
746,Planerts,7.4,317
747,Sushi & Nem,6.4,248
748,Haiky,6.7,266
749,Thüringer Hof,7.4,327
750,Dean & David,7.1,309
751,Bohemian Kids Cafe,8.7,394
752,India Gate,5.7,216
753,Subway,6.4,264
754,Toskana Leipzig,-1,212
755,Schnitzel Culture,5.6,221
756,San Remo Pizzeria & Baguetteria,-1,222
757,Micello's,-1,224
758,Max Enk,7.1,331
759,Indian Curry House,-1,228
760,Endless,-1,232
761,Shams Bistro & Lieferservice,7.5,337
762,Mediengarten in der Mediacity am MDR,-1,321
763,Ungarisches Spezialitäten Restaurant Váradi Csárda,-1,382
764,Skaska,-1,409
765,Yoko Sushi,-1,421
766,Asia Imbiss,-1,437
767,Gohliser Hof,-1,368
768,Imbiss Damaskus,-1,397
769,Punjabi,-1,445
770,Hacienda Mexicana,-1,465
771,Schwung und Schwebe,-1,476
772,Domino's Pizza Leipzig Ost,-1,166
773,Cáo Restaurant - Bar - Street Food,-1,168
774,Domino's Pizza,-1,221
775,Star Pizza Service,-1,329
776,Café Bubu,-1,445
777,Atrium Bistro,-1,765
778,Café Bubu,-1,67
779,Kumpir Döner,-1,104
780,Kenko Burger,-1,110
781,Espresso Zack Zack,8.8,391
782,Star Pizza Service,-1,225
783,Globus Döner,7.9,456
784,Domino's Pizza,-1,321
785,Domino's Pizza Leipzig Ost,-1,352
786,Atrium Bistro,-1,1261
787,Mørtelwerk,6.6,349
788,Rambutan - Asiatische Spezialitäten,-1,391
789,Uno Pizza Leipzig Lindenau,-1,401
790,Mørtelwerk,6.6,96
791,Kirow Kantine,-1,157
792,McDonald's,5.7,415
793,Asia Imbiss,-1,33
794,Pizzeria Cortigiano,-1,57
795,Gaststätte Mariental,-1,329
796,Subway,6.9,53
797,GreenSoul,7.6,112
798,Das Fass - Leipzigs erster Altbierkeller,-1,7
799,World Of Pizza,-1,95
800,Bistro Lia,-1,132
801,Maharani,-1,218
802,Sushi & Wok Hongkong Restaurant,-1,451
803,Café im Grassi,-1,215
804,Trattoria Amici,7.5,353
805,Addis Café Leipzig,-1,442
806,Boof Pizza,-1,467
807,Campus Café Salomon,-1,503
808,Anatolien,-1,26
809,Öz Mevlana,-1,189
810,Sesam Grill Leipzig,-1,284
811,Pizzeria Tito,-1,312
812,Antalya Kebabhaus,-1,413
813,Studio 3,-1,445
814,Bistro Haci Baba,-1,446
815,Furat Bistro,-1,447
816,Mr. Wok Asia Bistro,-1,483
817,Hot Pizza,-1,531
818,Mr. Wok Asia Bistro,-1,282
819,Furat Bistro,-1,287
820,Pizzeria Tito,-1,292
821,Bistro Haci Baba,-1,293
822,Ikram ocakbasi,-1,294
823,Antalya Kebabhaus,-1,297
824,Bab Al Qalaa,-1,348
825,Sesam Grill Leipzig,-1,349
826,Trago,-1,367
827,KuApo - Die Kulturapotheke,-1,382
828,Öz Mevlana,-1,417
829,Mai Tai,7.6,313
830,Jimmy Orpheus Cafe & Bar,8.3,375
831,Croissanterie Leipzig,-1,222
